区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,东方银座 ,138.64平米,东 ,950,68523,,精装,低楼层(共26层),2003年建,东方银座,,-
东城,宝华家园 ,59.62平米,,450,75479,房本满五年,简装,中楼层(共24层),2000年建,宝华家园,,-
东城,东直门南大街 ,67.84平米,南 ,618,91097,房本满五年,精装,低楼层(共18层),1990年建,东直门南大街,,-
东城,新景家园东区 ,59.86平米,,705,117775,房本满五年,简装,低楼层(共18层),2005年建,新景家园东区,,-
东城,竹杆胡同 ,57.86平米,,595,102835,房本满五年,其他,高楼层(共16层),2003年建,竹杆胡同,,-
东城,春秀路 ,54.54平米,南 ,600,110012,房本满五年,简装,中楼层(共6层),1998年建,春秀路,,-
东城,国瑞城中区 ,82.38平米,,760,92256,房本满五年,简装,低楼层(共16层),2006年建,国瑞城中区,,-
东城,新景家园西区 ,93.1平米,,920,98819,房本满五年,精装,高楼层(共12层),2001年建,新景家园西区,,-
东城,安外东河沿 ,58.12平米,南 ,680,117000,房本满五年,精装,高楼层(共6层),1989年建,安外东河沿,,-
东城,金世纪嘉园 ,75.74平米,东,600,79219,房本满五年,简装,高楼层(共21层),2005年建,金世纪嘉园,,-
东城,定安里 ,59.39平米,南 ,410,69036,房本满五年,简装,中楼层(共6层),1980年建,定安里,,-
东城,新中西街 ,40.51平米,东,385,95039,房本满五年,简装,底层(共7层),1990年建,新中西街,,-
东城,阳光都市 ,79.28平米,,760,95863,房本满五年,精装,中楼层(共25层),2001年建,阳光都市,,-
东城,朝内大街203号院 ,56.8平米,南 北 ,625,110036,房本满五年,精装,顶层(共6层),1986年建,朝内大街203号院,,-
东城,民安小区东直门北中街 ,74.81平米,南 ,755,100923,房本满五年,其他,中楼层(共11层),2002年建,民安小区东直门北中街,,-
东城,南门仓胡同 ,67.86平米,南 ,920,135574,房本满五年,精装,低楼层(共6层),2003年建,南门仓胡同,,-
东城,东厂北巷3号院 ,38.6平米,,510,132125,房本满五年,精装,低楼层(共6层),1986年建,东厂北巷3号院,,-
东城,青年湖东里 ,52.68平米,东,510,96811,房本满五年,简装,高楼层(共18层),1988年建,青年湖东里,,-
东城,西营房 ,89.26平米,西,935,104751,房本满五年,精装,低楼层(共19层),2006年建,西营房,,-
东城,王家园胡同 ,66.58平米,东 ,565,84861,房本满五年,简装,底层(共6层),1998年建,王家园胡同,,-
东城,大羊宜宾胡同35号院 ,41.3平米,,495,119855,房本满五年,精装,低楼层(共6层),1988年建,大羊宜宾胡同35号院,,-
东城,朝阳门内大街 ,63.49平米,,560,88203,房本满五年,精装,中楼层(共5层),1988年建,朝阳门内大街,,-
东城,板厂南里 ,51.8平米,南 ,485,93630,房本满五年,简装,顶层(共5层),1970年建,板厂南里,,-
